idx,id_1,font_1,c_1,r_1,id_2,font_2,c_2,r_2
00000109.png,285,3,6,1,487,26,58,49
00000110.png,487,19,0,14,122,13,58,64
00000111.png,123,37,44,14,456,4,2,59
00000112.png,409,4,64,8,262,7,4,53
00000113.png,382,6,42,12,100,40,1,45
00000114.png,405,9,36,6,182,33,0,44
00000115.png,91,18,62,10,229,34,23,49
00000116.png,61,42,58,15,143,3,9,64
00000117.png,66,19,51,14,397,26,10,57
00000118.png,130,26,21,1,164,7,57,43
00000119.png,214,47,16,13,107,25,55,58
00000120.png,190,41,64,10,211,36,10,52
00000121.png,239,38,3,1,379,49,36,57
00000122.png,86,9,62,5,208,40,9,63
00000123.png,58,35,4,17,477,26,51,62
00000124.png,322,26,40,9,182,40,4,59
00000125.png,282,17,56,7,130,9,13,50
00000126.png,45,3,52,7,257,26,10,49
00000127.png,456,4,55,10,349,29,11,56
00000128.png,258,21,51,4,393,12,15,41
00000129.png,164,28,46,3,152,24,11,43
00000130.png,282,25,5,10,343,34,43,60
00000131.png,370,9,58,8,119,2,23,56
00000132.png,300,8,55,3,492,21,19,53
00000133.png,40,12,7,14,28,1,43,55
00000134.png,389,11,47,15,97,7,2,56
00000135.png,6,34,62,7,304,13,4,61
00000136.png,56,42,9,13,264,31,47,48
00000137.png,355,36,12,14,332,41,46,64
00000138.png,267,46,18,0,416,38,57,39
00000139.png,425,21,4,11,450,7,58,58
00000140.png,491,21,63,5,455,37,19,63
00000141.png,461,34,43,0,389,34,8,36
00000142.png,275,24,8,17,123,35,48,51
00000143.png,355,1,2,30,106,13,49,64
00000144.png,433,5,18,6,418,40,55,58
00000145.png,423,31,16,1,72,35,60,36
00000146.png,458,11,42,13,472,5,5,64
00000147.png,177,17,8,25,245,34,54,63
00000148.png,220,37,63,6,80,2,8,60
00000149.png,485,7,63,23,183,16,28,59
00000150.png,140,0,19,11,421,20,58,62
00000151.png,52,45,49,11,265,31,0,56
00000152.png,186,9,2,17,249,39,56,51
00000153.png,47,16,10,8,371,28,59,58
00000154.png,206,29,7,25,56,1,51,60
00000155.png,225,0,18,10,337,1,54,64
00000156.png,13,26,39,20,221,25,0,62
00000157.png,70,3,12,1,104,28,55,47
00000158.png,393,35,13,16,300,0,57,60
00000159.png,475,6,17,15,346,4,57,48
00000160.png,383,11,58,4,35,19,7,48
00000161.png,66,7,54,23,427,44,18,57
00000162.png,240,43,7,23,208,46,52,59
00000163.png,109,5,61,2,46,26,15,59
00000164.png,151,28,3,17,68,11,36,54
00000165.png,193,4,51,2,243,21,10,64
00000166.png,442,23,23,4,455,6,56,47
00000167.png,233,41,59,12,125,2,22,51
00000168.png,316,18,16,11,100,3,55,44
00000169.png,72,8,12,8,409,24,45,46
00000170.png,192,30,5,14,155,37,43,61
00000171.png,40,40,62,4,234,42,8,59
00000172.png,345,39,5,20,495,6,62,61
00000173.png,498,3,58,3,80,48,18,46
00000174.png,354,43,3,10,301,16,52,58
00000175.png,199,10,57,5,467,24,4,49
00000176.png,148,4,59,5,123,34,25,48
00000177.png,410,47,53,9,461,19,5,45
00000178.png,100,33,15,21,385,8,49,57
00000179.png,8,39,54,0,7,31,5,39
00000180.png,268,45,57,12,84,19,8,49
00000181.png,393,2,62,1,36,1,6,52
00000182.png,226,34,17,10,372,19,59,43
00000183.png,278,15,55,15,232,2,4,60
00000184.png,268,4,56,21,458,0,12,57
00000185.png,54,28,10,1,300,16,60,47
00000186.png,432,40,24,8,61,32,58,55
00000187.png,348,34,57,10,310,28,16,51
00000188.png,309,18,0,12,66,42,38,64
00000189.png,235,11,11,16,466,37,53,49
00000190.png,458,18,18,24,285,22,51,62
00000191.png,0,37,60,14,150,44,10,64
00000192.png,186,8,5,26,245,26,50,59
00000193.png,162,38,7,5,52,34,54,54
00000194.png,384,38,55,3,401,12,20,39
00000195.png,403,49,52,23,380,35,15,64
00000196.png,174,23,18,8,303,26,52,58
00000197.png,255,6,26,7,22,21,63,64
00000198.png,235,11,63,19,263,23,12,54
00000199.png,68,32,55,10,295,25,9,60
00000200.png,388,38,56,15,200,7,0,59
00000201.png,469,24,46,14,241,38,0,56
00000202.png,323,20,41,19,107,15,3,63
00000203.png,157,22,52,4,119,47,15,43
00000204.png,157,46,51,7,232,15,10,52
00000205.png,269,3,64,31,174,41,20,64
00000206.png,172,10,18,0,441,30,62,34
00000207.png,28,10,59,14,49,1,17,60
00000208.png,497,13,9,7,292,41,60,55
00000209.png,158,20,45,12,8,18,7,60
00000210.png,127,40,24,6,110,43,57,46
00000211.png,86,6,1,20,91,29,42,59
00000212.png,420,7,4,0,5,35,50,56
00000213.png,67,10,13,2,122,0,47,42
00000214.png,397,1,2,7,287,0,58,50
00000215.png,261,36,52,4,239,14,2,38
00000216.png,22,20,46,4,258,11,3,52
00000217.png,495,16,13,15,89,38,52,63
00000218.png,382,17,2,13,486,26,42,59
00000219.png,117,6,55,5,185,25,8,47
00000220.png,27,5,49,7,312,35,8,52
00000221.png,185,8,36,6,170,7,3,55
00000222.png,456,14,53,20,482,33,7,63
00000223.png,278,17,64,2,427,31,7,47
00000224.png,152,29,12,14,113,44,53,62
00000225.png,15,9,17,7,203,9,59,53
00000226.png,174,33,57,10,135,6,6,55
00000227.png,230,28,48,9,59,27,5,52
00000228.png,430,45,49,3,20,31,8,41
00000229.png,490,6,52,5,463,45,4,49
00000230.png,209,46,55,16,452,11,6,52
00000231.png,288,13,51,24,229,34,12,61
00000232.png,72,18,57,7,396,22,16,45
00000233.png,114,37,6,13,54,0,47,64
00000234.png,27,43,3,12,56,10,53,61
00000235.png,359,29,62,2,172,4,23,43
00000236.png,360,43,44,3,8,35,2,49
00000237.png,385,42,52,14,377,24,17,56
00000238.png,223,14,45,7,431,48,12,63
00000239.png,388,7,39,18,106,39,2,54
00000240.png,52,42,10,12,34,30,55,48
00000241.png,307,2,28,29,405,34,62,62
00000242.png,146,26,6,5,186,29,51,39
00000243.png,327,41,59,1,377,24,14,42
00000244.png,232,13,53,14,478,4,7,57
00000245.png,303,2,19,2,341,17,52,54
00000246.png,296,42,17,21,453,33,50,61
00000247.png,372,8,49,10,249,1,8,56
00000248.png,359,29,23,3,273,24,59,56
00000249.png,283,41,21,4,76,46,58,55
00000250.png,160,44,7,12,203,19,54,46
00000251.png,121,28,64,12,323,2,20,51
00000252.png,144,23,40,9,484,35,5,59
00000253.png,249,34,17,2,0,30,52,52
00000254.png,290,40,2,0,141,25,52,61
00000255.png,65,9,14,6,287,42,52,50
00000256.png,284,7,58,1,62,44,6,50
00000257.png,383,31,1,12,473,17,57,47
00000258.png,297,43,14,16,56,32,62,56
00000259.png,281,0,7,10,447,10,44,64
00000260.png,418,46,61,16,23,15,15,58
00000261.png,270,44,12,6,243,35,58,43
00000262.png,47,6,51,9,13,28,15,42
00000263.png,22,26,63,0,293,44,3,60
00000264.png,397,18,1,7,167,9,36,50
00000265.png,98,7,61,11,291,14,25,61
00000266.png,335,43,0,13,57,35,41,64
00000267.png,118,10,60,25,238,25,2,63
00000268.png,251,20,7,17,340,48,53,62
00000269.png,108,9,6,1,283,40,48,41
00000270.png,255,1,53,8,124,13,13,61
00000271.png,16,22,55,2,98,13,15,37
00000272.png,2,46,15,8,476,34,51,43
00000273.png,266,22,0,8,199,43,57,45
00000274.png,20,38,59,7,424,29,3,59
00000275.png,14,12,8,18,322,5,41,52
00000276.png,103,32,9,9,133,31,62,63
00000277.png,320,11,14,9,373,11,55,62
00000278.png,324,1,56,4,489,28,15,51
00000279.png,443,38,28,3,1,15,63,64
00000280.png,139,22,23,14,216,10,62,47
00000281.png,311,36,10,22,307,32,58,55
00000282.png,399,13,37,16,14,44,0,60
00000283.png,200,44,21,2,248,24,55,59
00000284.png,216,15,9,6,90,13,64,61
00000285.png,43,42,48,22,439,28,0,55
00000286.png,367,36,6,5,388,49,52,52
00000287.png,359,14,7,13,317,36,64,54
00000288.png,253,2,2,13,151,5,36,47
00000289.png,447,45,10,20,484,12,51,64
00000290.png,14,37,5,10,100,3,45,57
00000291.png,336,41,49,28,352,4,12,62
00000292.png,230,47,64,15,242,10,20,53
00000293.png,90,48,50,4,495,19,3,60
00000294.png,457,10,24,7,158,4,62,50
00000295.png,158,44,62,3,117,43,17,37
00000296.png,308,16,22,4,451,11,60,37
00000297.png,88,41,1,21,154,18,46,55
00000298.png,54,43,62,8,273,13,15,58
00000299.png,386,5,8,14,52,34,63,61
00000300.png,278,41,56,19,452,7,23,63
00000301.png,281,25,60,6,194,32,18,52
00000302.png,455,47,61,16,315,11,28,51
00000303.png,17,49,7,13,7,27,62,48
00000304.png,329,34,51,8,25,40,18,57
00000305.png,269,7,51,0,492,41,15,36
00000306.png,301,11,49,10,212,19,2,52
00000307.png,4,19,14,0,458,29,62,39
00000308.png,384,0,43,2,459,43,4,39
00000309.png,333,35,16,3,40,10,60,54
00000310.png,114,20,0,18,56,24,49,55
00000311.png,426,39,20,12,144,32,58,59
00000312.png,224,18,52,27,47,49,5,64
00000313.png,303,6,3,5,262,35,54,48
00000314.png,371,1,39,9,332,44,0,62
00000315.png,283,11,61,22,383,14,21,60
00000316.png,123,42,60,7,321,32,13,52
00000317.png,93,38,10,13,162,39,51,62
00000318.png,232,17,56,20,329,15,18,63
00000319.png,446,2,58,1,79,37,16,48
00000320.png,47,9,2,6,66,20,42,50
00000321.png,218,22,12,0,324,2,49,45
00000322.png,58,15,54,1,3,35,1,63
00000323.png,489,2,1,7,186,8,55,53
00000324.png,218,8,19,3,313,23,52,48
00000325.png,149,12,4,2,111,26,59,61
00000326.png,134,23,60,19,104,29,24,53
00000327.png,113,48,20,12,111,49,58,59
00000328.png,403,32,51,9,349,21,8,48
00000329.png,97,19,52,26,260,30,7,64
00000330.png,51,10,47,16,399,40,0,54
00000331.png,90,9,4,0,55,32,42,51
00000332.png,455,4,64,6,268,38,17,42
00000333.png,332,28,63,13,470,38,1,47
00000334.png,161,39,5,2,252,22,50,46
00000335.png,390,16,12,7,327,30,52,41
00000336.png,233,42,21,0,303,41,58,44
00000337.png,10,19,8,0,177,30,41,34
00000338.png,339,27,64,6,280,29,17,52
00000339.png,349,22,18,21,75,17,60,59
00000340.png,89,9,62,17,246,26,0,50
00000341.png,245,35,11,3,228,8,57,36
00000342.png,65,16,21,9,358,16,55,45
00000343.png,298,36,11,28,353,27,58,64
00000344.png,219,36,3,13,374,12,53,49
00000345.png,63,3,52,2,427,26,18,59
00000346.png,325,49,19,22,241,43,64,64
00000347.png,22,16,22,10,213,46,57,57
00000348.png,451,3,19,3,417,14,63,53
00000349.png,141,31,26,10,165,6,64,64
00000350.png,459,1,7,1,380,37,58,35
00000351.png,28,21,15,20,384,13,56,57
00000352.png,201,38,48,18,470,17,12,61
00000353.png,305,14,49,11,54,47,0,58
00000354.png,142,3,41,6,473,40,4,42
00000355.png,98,33,63,6,486,27,27,42
00000356.png,206,4,39,14,108,15,6,48
00000357.png,431,12,11,21,316,29,58,55
00000358.png,326,2,13,9,137,8,54,55
00000359.png,41,39,60,4,312,26,8,39
00000360.png,312,20,56,15,451,8,20,62
00000361.png,479,44,25,2,437,39,61,51
00000362.png,67,14,56,15,401,6,3,48
00000363.png,395,3,5,12,67,44,48,50
00000364.png,418,13,54,7,412,28,0,60
00000365.png,81,22,0,2,472,35,64,59
00000366.png,85,39,54,29,359,8,17,62
00000367.png,273,23,57,13,103,37,3,63
00000368.png,422,0,19,10,68,23,52,57
00000369.png,422,42,59,2,477,44,10,41
00000370.png,252,13,19,10,67,48,62,52
00000371.png,333,19,11,5,334,23,47,60
00000372.png,261,28,62,5,429,49,23,43
00000373.png,488,38,37,19,209,12,4,61
00000374.png,491,42,51,0,332,21,3,38
00000375.png,499,36,5,17,322,7,49,63
00000376.png,189,42,10,5,314,29,52,46
00000377.png,403,43,6,6,32,29,46,58
00000378.png,203,40,46,11,245,33,5,49
00000379.png,182,7,41,4,29,41,1,49
00000380.png,4,39,4,3,159,27,40,38
00000381.png,112,47,17,6,245,25,58,45
00000382.png,22,1,56,22,332,23,0,64
00000383.png,170,15,16,2,271,27,55,57
00000384.png,338,28,6,8,209,5,42,51
00000385.png,477,5,17,9,27,44,57,43
00000386.png,194,44,8,4,201,41,46,64
00000387.png,158,16,0,20,192,7,62,58
00000388.png,442,28,3,5,366,14,43,59
00000389.png,380,40,43,1,291,16,3,64
00000390.png,259,28,19,7,494,12,54,57
00000391.png,307,41,6,14,430,16,56,48
00000392.png,443,45,39,3,63,35,0,43
00000393.png,9,29,60,12,386,8,22,63
00000394.png,194,19,60,26,365,4,6,59
00000395.png,314,8,54,27,131,25,20,60
00000396.png,1,46,9,0,282,43,57,40
00000397.png,398,44,1,11,408,44,39,60
00000398.png,306,9,40,3,259,19,7,59
00000399.png,69,2,52,24,284,16,5,61
00000400.png,72,41,21,6,103,35,55,52
00000401.png,492,0,21,5,442,17,56,61
00000402.png,63,30,2,4,499,47,46,50
00000403.png,51,7,63,0,2,37,5,59
00000404.png,26,15,1,13,35,31,47,50
00000405.png,350,42,60,24,30,16,11,63
00000406.png,297,4,22,11,248,31,60,55
00000407.png,383,44,12,5,254,16,61,56
00000408.png,202,40,43,1,148,34,1,60
00000409.png,289,32,16,6,365,9,59,48
00000410.png,499,8,2,13,220,21,63,54
00000411.png,313,11,6,11,363,36,64,59
00000412.png,72,26,3,9,63,31,64,49
00000413.png,147,16,8,8,334,49,50,48
00000414.png,67,28,14,12,234,16,55,48
00000415.png,138,23,46,15,443,42,8,51
00000416.png,109,13,11,1,488,35,50,46
00000417.png,152,14,14,0,303,21,64,64
00000418.png,153,2,23,21,80,8,59,56
00000419.png,195,4,60,3,357,13,6,41
00000420.png,286,2,39,1,268,47,3,39
00000421.png,431,8,13,17,141,44,64,54
00000422.png,251,48,64,8,408,6,25,62
00000423.png,426,49,54,3,239,33,12,64
00000424.png,321,5,9,16,177,30,63,53
00000425.png,454,13,10,8,279,26,55,53
00000426.png,300,35,46,4,131,42,11,37
00000427.png,292,40,15,19,440,7,60,56
00000428.png,414,7,10,12,41,43,49,57
00000429.png,216,13,57,9,171,22,4,54
00000430.png,344,21,60,24,74,13,8,59
00000431.png,253,42,56,5,299,15,20,40
00000432.png,342,45,2,7,299,41,51,47
00000433.png,226,17,25,22,492,23,58,57
00000434.png,355,24,51,7,89,0,13,42
00000435.png,53,6,62,20,160,2,24,60
00000436.png,40,43,14,14,113,26,52,55
00000437.png,318,8,16,4,23,23,56,62
00000438.png,322,35,57,4,11,22,12,51
00000439.png,188,40,14,25,188,10,47,58
00000440.png,461,34,52,10,448,47,10,61
00000441.png,435,0,2,15,386,39,56,56
00000442.png,68,33,4,2,101,36,60,48
00000443.png,461,39,37,6,96,47,1,62
00000444.png,74,33,8,17,416,38,46,61
00000445.png,142,5,59,21,156,27,3,61
00000446.png,327,47,19,9,258,8,55,42
00000447.png,288,27,60,16,39,41,20,61
00000448.png,469,17,63,0,384,37,0,49
00000449.png,136,34,3,1,75,19,43,59
00000450.png,170,8,62,5,174,1,16,46
00000451.png,277,23,15,10,493,4,63,43
00000452.png,408,45,51,28,175,31,2,61
00000453.png,64,15,57,21,157,19,13,54
00000454.png,298,5,16,9,93,38,64,59
00000455.png,383,6,13,12,456,41,58,47
00000456.png,361,28,22,16,49,37,58,60
00000457.png,32,48,47,27,170,34,4,62
00000458.png,347,29,11,12,227,38,64,63
00000459.png,23,41,2,7,106,45,61,52
00000460.png,389,17,57,2,115,8,15,52
00000461.png,433,34,51,8,39,31,1,61
00000462.png,445,18,38,20,183,27,0,57
00000463.png,21,4,21,6,392,11,63,47
00000464.png,133,38,6,5,323,38,58,38
00000465.png,73,43,63,5,357,43,0,46
00000466.png,92,8,3,13,188,34,47,53
00000467.png,22,29,17,21,95,13,64,60
00000468.png,440,48,13,4,301,22,54,58
00000469.png,261,2,48,21,34,20,5,59
00000470.png,302,31,44,1,27,9,9,45
00000471.png,252,33,63,7,18,28,10,43
00000472.png,67,48,51,4,294,34,9,64
00000473.png,93,21,38,26,390,18,0,62
00000474.png,470,40,0,3,453,15,35,61
00000475.png,21,8,5,0,449,33,39,51
00000476.png,311,13,12,2,256,33,50,48
00000477.png,415,29,12,3,451,15,58,59
00000478.png,207,38,59,3,491,2,15,49
00000479.png,358,34,46,5,425,5,0,56
00000480.png,349,40,4,25,335,31,38,62
00000481.png,192,20,4,14,150,39,47,53
00000482.png,12,39,62,3,46,33,13,57
00000483.png,105,44,18,6,394,4,61,54
00000484.png,457,11,9,3,235,21,52,40
00000485.png,294,37,23,5,370,20,63,55
00000486.png,297,16,4,3,483,42,49,60
00000487.png,317,11,48,14,139,32,14,64
00000488.png,107,12,55,14,227,16,3,51
00000489.png,258,22,28,12,439,37,62,61
00000490.png,201,30,10,14,496,16,46,61
00000491.png,329,35,60,8,246,29,8,64
00000492.png,39,35,57,6,327,34,16,53
00000493.png,83,11,4,27,278,48,63,61
00000494.png,410,2,47,1,260,9,12,53
00000495.png,196,19,63,10,386,3,19,56
00000496.png,276,2,55,15,93,46,5,54
00000497.png,448,14,8,22,137,22,44,58
00000498.png,456,18,64,1,280,35,27,43
00000499.png,88,20,60,4,426,17,18,47
00000500.png,433,47,14,4,114,45,60,40
00000501.png,425,26,5,21,22,6,46,58
00000502.png,391,8,63,0,411,35,30,41
00000503.png,69,32,3,3,317,47,43,41
00000504.png,20,34,57,19,388,43,6,53
00000505.png,93,11,7,18,19,0,42,54
00000506.png,358,17,3,9,239,15,54,60
00000507.png,4,8,38,0,476,39,4,55
00000508.png,343,37,23,16,100,24,58,61
00000509.png,488,49,4,11,133,0,63,61
00000510.png,188,19,4,2,230,31,63,62
00000511.png,410,7,36,7,373,13,0,60
00000512.png,337,26,14,19,316,10,48,64
00000513.png,289,48,13,17,129,38,60,64
00000514.png,444,18,28,17,354,1,63,53
00000515.png,107,19,47,7,79,48,6,63
00000516.png,242,12,54,14,351,35,9,49
00000517.png,86,2,54,17,25,32,1,55
00000518.png,416,24,0,2,341,19,38,46
00000519.png,439,5,6,18,37,33,55,57
00000520.png,453,0,60,11,108,9,5,63
00000521.png,413,1,7,14,181,49,49,60
00000522.png,79,13,7,22,332,0,64,62
00000523.png,223,11,3,19,368,29,46,59
00000524.png,471,15,22,6,494,20,58,43
00000525.png,104,14,8,14,212,2,49,52
00000526.png,361,20,52,5,378,16,8,60
00000527.png,385,25,21,10,63,8,54,53
00000528.png,78,40,10,19,412,48,62,53
00000529.png,412,3,19,0,6,2,60,38
00000530.png,450,9,34,8,455,37,0,49
00000531.png,22,28,5,1,238,0,55,49
00000532.png,208,8,10,7,432,19,53,42
00000533.png,342,34,20,13,340,19,61,58
00000534.png,485,11,14,3,343,49,47,39
00000535.png,257,9,58,8,366,31,0,53
00000536.png,396,21,7,0,362,1,47,52
00000537.png,43,15,47,3,388,10,10,54
00000538.png,479,44,51,29,175,17,5,62
00000539.png,113,46,11,0,36,35,44,50
00000540.png,471,4,6,13,84,21,47,46
00000541.png,84,38,0,1,210,41,46,50
00000542.png,31,33,37,10,114,35,4,44
00000543.png,62,9,9,18,83,1,53,64
00000544.png,339,39,12,5,90,10,46,39
00000545.png,318,30,50,15,416,13,14,50
00000546.png,427,35,0,15,197,20,58,60
00000547.png,349,34,64,11,468,27,13,47
00000548.png,22,49,2,27,263,33,62,61
00000549.png,157,2,26,4,56,2,64,42
00000550.png,280,32,0,19,82,7,46,53
00000551.png,80,18,59,0,429,14,0,45
00000552.png,294,23,54,13,297,41,0,52
00000553.png,220,24,0,6,190,16,41,48
00000554.png,228,42,5,11,39,37,40,59
00000555.png,36,33,15,26,263,39,48,63
00000556.png,194,25,19,16,156,12,53,60
00000557.png,100,30,29,10,24,23,62,45
00000558.png,450,27,56,11,277,38,0,52
00000559.png,302,20,51,12,436,13,4,64
00000560.png,41,32,3,18,280,34,61,52
00000561.png,495,44,5,7,253,34,41,55
00000562.png,231,13,63,6,135,0,0,44
00000563.png,133,40,59,8,185,22,25,62
00000564.png,488,43,5,9,460,2,46,63
00000565.png,229,18,10,10,397,36,58,56
00000566.png,13,43,17,24,499,7,51,60
00000567.png,393,29,57,9,435,37,18,64
00000568.png,74,30,54,20,264,27,11,60
00000569.png,295,24,40,11,179,24,7,63
00000570.png,66,36,1,3,388,1,40,58
00000571.png,135,16,12,2,424,41,53,58
00000572.png,457,29,3,16,101,46,41,54
00000573.png,292,4,55,8,87,11,19,59
00000574.png,253,33,56,17,381,47,19,60
00000575.png,468,21,48,2,408,40,3,40
00000576.png,495,32,56,6,171,32,19,47
00000577.png,73,23,0,6,457,16,49,52
00000578.png,44,25,11,9,45,49,57,48
00000579.png,59,4,11,12,366,15,49,46
00000580.png,341,29,27,11,273,29,60,61
00000581.png,193,2,53,10,389,8,13,58
00000582.png,499,49,22,2,197,29,57,64
00000583.png,222,22,60,10,146,25,7,51
00000584.png,124,40,56,4,417,37,4,42
00000585.png,178,46,41,6,36,44,4,64
00000586.png,240,17,14,2,182,13,52,51
00000587.png,304,10,2,5,293,13,58,49
00000588.png,56,23,9,5,216,38,53,62
00000589.png,69,40,4,10,64,22,48,44
00000590.png,12,17,63,17,390,42,29,60
00000591.png,118,21,46,6,188,22,3,63
00000592.png,479,48,0,15,198,5,56,51
00000593.png,499,43,5,24,228,4,41,63
00000594.png,22,24,6,5,51,34,58,64
00000595.png,82,13,55,18,140,1,15,54
00000596.png,39,1,51,16,60,29,9,61
00000597.png,148,47,48,8,107,28,2,43
00000598.png,138,27,52,21,323,28,18,58
00000599.png,184,1,4,8,120,15,59,57
00000600.png,497,43,5,4,75,13,56,39
00000601.png,303,0,17,23,307,1,63,56
00000602.png,418,21,50,17,185,27,12,56
00000603.png,385,34,6,0,382,20,55,33
00000604.png,295,35,6,7,224,14,63,62
00000605.png,259,35,52,0,208,3,2,50
00000606.png,136,11,2,18,158,31,48,59
00000607.png,3,35,53,28,253,7,12,62
00000608.png,495,11,48,11,392,40,3,60
00000609.png,168,3,45,23,339,2,12,64
00000610.png,258,5,40,10,444,26,4,46
00000611.png,215,30,5,22,483,39,44,62
00000612.png,143,2,55,5,215,11,5,42
00000613.png,42,32,60,23,94,28,3,57
00000614.png,246,35,3,3,165,6,63,42
00000615.png,94,3,59,2,165,23,8,38
00000616.png,12,39,5,10,434,6,44,43
00000617.png,224,48,14,13,231,22,47,60
00000618.png,35,9,59,25,289,5,11,60
00000619.png,208,47,4,25,231,16,64,62
00000620.png,195,33,40,29,161,12,2,62
00000621.png,41,12,9,19,374,12,47,57
00000622.png,33,3,0,7,125,6,57,59
00000623.png,411,15,44,1,94,21,10,46
00000624.png,36,24,45,8,41,29,9,45
00000625.png,168,6,59,5,184,33,5,46
00000626.png,48,29,58,4,427,4,13,41
00000627.png,76,31,1,2,247,9,59,42
00000628.png,200,45,2,11,129,17,60,64
00000629.png,195,0,63,19,354,13,28,52
00000630.png,487,31,48,11,219,37,5,57
00000631.png,62,43,53,4,141,0,12,51
00000632.png,489,18,12,20,126,22,47,59
